,joblinks
51,https://de.linkedin.com/jobs/view/business-analyst-m-w-div-at-deutsche-rentenversicherung-bund-3723977626?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=uBNECEbTlGRVKc%2Fu1IzIYg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
52,https://de.linkedin.com/jobs/view/business-analyst-fintech-public-w-m-d-at-capgemini-engineering-3702460159?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=fhx1EUCty4UUTG1c6yJkOg%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
53,https://de.linkedin.com/jobs/view/manager-in-market-research-business-analytics-at-sanofi-3703511588?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=nN3SRZW4SLvNIqiR7bhAnQ%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
54,https://de.linkedin.com/jobs/view/berater-technology-business-analysis-technology-transformation-w-m-d-at-ey-3706663482?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=hLZ8N9UedjBeU4UVf28zuw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
55,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-cbtw-3717084166?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=0CzThaD6%2F%2FXawjrAGl03wg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
56,https://de.linkedin.com/jobs/view/business-analyst-procurement-f-m-x-at-hellofresh-3716704031?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=VgXi58jxntm3oTrzzXQLWA%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
57,https://de.linkedin.com/jobs/view/business-analyst-f%C3%BCr-die-modellierung-von-web-applikationen-m-w-d-at-mgm-technology-partners-3627800351?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=vAZ42IMmIRMbZ0gg3N2ZVQ%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
58,https://de.linkedin.com/jobs/view/business-analyst-tax-at-avaloq-3709611662?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=MGO0KPgtwed2MRfzHbqlOw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
59,https://de.linkedin.com/jobs/view/business-analyst-w-m-d-at-capgemini-engineering-3702459364?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=FSlLmZnMT6MgOZNhVGSH5Q%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
60,https://de.linkedin.com/jobs/view/business-analyst-consultant-cloud-integration-m-w-d-at-deloitte-3628998054?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=JBVvgTatnkUqQDqj3zxh6g%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
61,https://de.linkedin.com/jobs/view/duales-studium-bwl-b-a-am-campus-oder-online-at-iu-internationale-hochschule-3407451911?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=t1wQdhLKy45D98BHbrcRyA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
62,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-nexnet-gmbh-3704205168?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=lfE50w9LsY%2FcWcUaOfllpQ%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
63,https://de.linkedin.com/jobs/view/product-marketing-analyst-all-genders-%E2%80%93-marketing-labs-%E2%80%93-universal-music-gmbh-at-universal-music-deutschland-3617041458?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=O6PoFPoJH6OuV%2FghLLAAcA%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
64,https://de.linkedin.com/jobs/view/business-analyst-strategy-digital-transformation-energiewirtschaft-m-w-d-in-berlin-at-bearingpoint-2963471348?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=IDzrsla7ytDl6owTtuh3Ug%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
65,https://de.linkedin.com/jobs/view/business-analyst-osplus-at-dkb-deutsche-kreditbank-ag-3684581395?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=1e1hxDHTyHFdVtALVBuiPg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
66,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-100%25-remote-at-publicplan-gmbh-3647129315?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=hN50nIUOG3xYvEqrIQzDWg%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
67,https://de.linkedin.com/jobs/view/sozial%C2%ADver%C2%ADsi%C2%ADche%C2%ADrungs%C2%ADfach%C2%ADan%C2%ADge%C2%ADstellte-als-business-analyst-m-w-d-schwerpunkt-telematik-at-aok-systems-gmbh-3720151405?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=Wvrw%2FaUjpL3awLaEMqydpQ%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
68,https://de.linkedin.com/jobs/view/duales-studium-b-a-bwl-mit-schwerpunkt-digital-innovation-in-berlin-2024-at-vodafone-3717099303?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=P9xYa2HeVTIYGfbekwkLMw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
69,https://de.linkedin.com/jobs/view/performance-marketing-manager-sea-%E2%80%93-deutsch-m-w-d-at-home24-se-3655539781?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=w4Pkiy%2BboK0ydJmdJSr74g%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
70,https://de.linkedin.com/jobs/view/agile-business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3622515193?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=0YGE3U4HvA3rFe3kx45mSg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
71,https://de.linkedin.com/jobs/view/duales-studium-b-a-tourismusmanagement-m-w-d-at-a-o-hostels-3622770314?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=EMV21NlNXXA41J9pYJqSJA%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
72,https://de.linkedin.com/jobs/view/business-analystin-digitalisierung-netzausbau-m-w-d-at-50hertz-transmission-gmbh-3716380169?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=MXcLgyCJsISnaphYYZrigw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
73,https://de.linkedin.com/jobs/view/agile-business-analyst-m-w-d-at-init-ag-f%C3%BCr-digitale-kommunikation-3681447079?refId=ko%2BRt%2FYNguBufpNU0ULuig%3D%3D&trackingId=tpZcGQNdWBjoCv5UsLqT5A%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
